Commit SHA,Java File,Old function signature,New function signature
60d2fdfcea4e46ded5760581bcc440aa7d1a01d6,UriUtils.java,"public static String encode(String source, String encoding) throws UnsupportedEncodingException {","private static String encode(String source, String encoding, BitSet notEncoded) throws UnsupportedEncodingException {"
89975c8b79f052fa218e247d3c33e3ad1fb1bcf5,AnnotationMethodHandlerAdapter.java,"private String getMatchedPattern(String methodLevelPattern, String lookupPath) {","private String getMatchedPattern(String methodLevelPattern, String lookupPath, HttpServletRequest request) {"
dc0613f487d6927d1b98d413955229ee1b47e1e4,AbstractHttpMessageConverter.java,protected Long getContentLength(T t) {,"protected Long getContentLength(T t, MediaType contentType) {"
dc0613f487d6927d1b98d413955229ee1b47e1e4,ByteArrayHttpMessageConverter.java,protected Long getContentLength(byte[] bytes) {,"protected Long getContentLength(byte[] bytes, MediaType contentType) {"
dc0613f487d6927d1b98d413955229ee1b47e1e4,StringHttpMessageConverter.java,protected Long getContentLength(String s) {,"protected Long getContentLength(String s, MediaType contentType) {"
b5e826976cd66ed45df94a0feacd86401ae01807,DefaultAnnotationHandlerMapping.java,protected String[] determineUrlsForHandlerMethods(Class<?> handlerType) {,"protected String[] determineUrlsForHandlerMethods(Class<?> handlerType, final boolean indicateEmpty) {"
7da13e7ad1867b8ccf7947671cfb3e090654aa85,PersistenceUnitReader.java,protected SpringPersistenceUnitInfo parsePersistenceUnitInfo(Element persistenceUnit) throws IOException {,"protected SpringPersistenceUnitInfo parsePersistenceUnitInfo(Element persistenceUnit, String version) throws IOException { // JC: Changed"
f5ced9be3852a4faa07dfa13d8d089cd613f5949,ExpressionTestCase.java,public static String stringValueOf(Object value) {,"public static String stringValueOf(Object value, boolean isNested) {"
e26fc66523c22b43b636c2833dc1ad7fef6f35af,CronSequenceGenerator.java,private void doNext(Calendar calendar) {,"private void doNext(Calendar calendar, int dot) {"
9857ba077b16312e78ca6dcf2a219326955daae5,ConstructorResolver.java,public void storeCache(RootBeanDefinition mbd) {,"public void storeCache(RootBeanDefinition mbd, Object constructorOrFactoryMethod) {"
284f98f12a53e46a58c7731da075148eff26137a,ServletAnnotationControllerTests.java,public void handle(Writer writer) throws IOException {,"public void handle(Writer writer, @RequestParam(value=""p"", required=false) String param) throws IOException {"
f480333d31d8307b8c96409e7bb4f06ec0cab0ca,BeanDefinitionParserDelegate.java,public void initDefaults(Element root) {,"public void initDefaults(Element root, BeanDefinitionParserDelegate parent) {"
f480333d31d8307b8c96409e7bb4f06ec0cab0ca,DefaultBeanDefinitionDocumentReader.java,"protected BeanDefinitionParserDelegate createHelper(XmlReaderContext readerContext, Element root) {","protected BeanDefinitionParserDelegate createHelper(XmlReaderContext readerContext, Element root, BeanDefinitionParserDelegate parentDelegate) {"
7aaad371204454bfb98118cbf84550cab3f6e0ac,AnnotationDrivenBeanDefinitionParserTests.java,"public String[] resolveMessageCodes(String errorCode, String objectName) {","public String[] resolveMessageCodes(String errorCode, String objectName, String field, Class fieldType) {"
b4fea47d5cff9f3c85e62c233c2fe86b1d616592,ConfigurationClassPostProcessor.java,public void processConfigBeanDefinitions(BeanDefinitionRegistry registry) {,"public void processConfigBeanDefinitions(BeanDefinitionRegistry registry, ConfigurationClassBeanDefinitionReader reader) {"
b4fea47d5cff9f3c85e62c233c2fe86b1d616592,AnnotationDrivenBeanDefinitionParserTests.java,private void verifyMessageConverters(Object bean) {,"private void verifyMessageConverters(Object bean, boolean hasDefaultRegistrations) {"
93304b5ff2370cfb6265fb2bd4d6773ca17d528e,FormattingConversionServiceTests.java,private void doTestFormatFieldForAnnotation(Class<?> modelClass) throws Exception {,"private void doTestFormatFieldForAnnotation(Class<?> modelClass, boolean directFieldAccess) throws Exception {"
