Commit SHA,Java File,Old function signature,New function signature
d4b52a3538372d837d0f0b7701f1a3f9f7bbfab1,HealthMvcEndpoint.java,public Object invoke(HttpServletRequest request) {,"public Object invoke(HttpServletRequest request, Principal principal) {"
d4b52a3538372d837d0f0b7701f1a3f9f7bbfab1,HealthMvcEndpoint.java,private Health getHealth(HttpServletRequest request) {,"private Health getHealth(HttpServletRequest request, Principal principal) {"
d4b52a3538372d837d0f0b7701f1a3f9f7bbfab1,HealthMvcEndpoint.java,protected boolean exposeHealthDetails(HttpServletRequest request) {,"protected boolean exposeHealthDetails(HttpServletRequest request, Principal principal) {"
a2cf0455fdddb22380fd695688bbf0b7fef3e403,AbstractApplicationLauncher.java,private int awaitServerPort(Process process) throws Exception {,"private int awaitServerPort(Process process, File serverPortFile) throws Exception {"
a00b69574844fc10c36f48be5f7dc942ba57c797,ValidationAutoConfigurationTests.java,public void load(Class<?> config) {,"public void load(Class<?> config, String... environment) {"
226db4697f9e2cd12db7ffe769aa21b8f2686981,SpringApplicationJsonEnvironmentPostProcessor.java,"private void processJson(ConfigurableEnvironment environment, String json) {","private void processJson(ConfigurableEnvironment environment, String json, PropertySource source) {"
226db4697f9e2cd12db7ffe769aa21b8f2686981,SpringApplicationJsonEnvironmentPostProcessor.java,"private void extract(String name, Map<String, Object> result, Object value) {","private void extract(String name, Map<String, Object> result, Object value, PropertySource source) {"
65e6876025ff9e23cebd6d413cb790fd2cb52677,StatsdExportConfiguration.java,"public MetricsExporter statsdExporter(StatsdConfig statsdConfig, Clock clock) {","public MetricsExporter statsdExporter(StatsdConfig statsdConfig, HierarchicalNameMapper hierarchicalNameMapper, Clock clock) {"
cf17e5708bcc25d8c76829c84b667682a1c77460,WebMvcTags.java,public static Tag uri(HttpServletRequest request) {,"public static Tag uri(HttpServletRequest request, HttpServletResponse response) {"
fd5c43cdc97a3b17234a139b566a96eabd282639,ConfigurationMetadataAnnotationProcessor.java,private void processEndpoint(Element element) {,"private void processEndpoint(Element element, List<Element> annotations) {"
7c6c9ddf09b97af260dc27b44b30889783332ebe,DurationConverter.java,private ChronoUnit getUnit(String value) {,"private ChronoUnit getUnit(String value, DurationUnit defaultUnit) {"
7674841946b61b4a42d81850c85278a6f04c24d7,ConditionEvaluationReportMessage.java,private StringBuilder getLogMessage(ConditionEvaluationReport report) {,"private StringBuilder getLogMessage(ConditionEvaluationReport report, String title) {"
4568f14c716a2429338f19db827f329a65922677,JSONArray.java,public boolean optBoolean(int index) {,"public boolean optBoolean(int index, boolean fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONArray.java,public double optDouble(int index) {,"public double optDouble(int index, double fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONArray.java,public int optInt(int index) {,"public int optInt(int index, int fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONArray.java,public long optLong(int index) {,"public long optLong(int index, long fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONArray.java,public String optString(int index) {,"public String optString(int index, String fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONObject.java,public boolean optBoolean(String name) {,"public boolean optBoolean(String name, boolean fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONObject.java,public double optDouble(String name) {,"public double optDouble(String name, double fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONObject.java,public int optInt(String name) {,"public int optInt(String name, int fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONObject.java,public long optLong(String name) {,"public long optLong(String name, long fallback) {"
4568f14c716a2429338f19db827f329a65922677,JSONObject.java,public String optString(String name) {,"public String optString(String name, String fallback) {"
340ef52f7814737c41ac13973cd864327938d553,RequestPredicateFactory.java,"private String getPath(String endpointId, Method method) {","private String getPath(String endpointId, String rootPath, Method method) {"
a809e8f31698ddc15e26c7ec109ee519522429c7,ApplicationBuilder.java,private void packageApplication(File appFolder) throws MavenInvocationException {,"private void packageApplication(File appFolder, File settingsXml)"
95f7e3ca37b3d8139f7a5e299f1a96d5af509af1,RunProcess.java,"protected int run(boolean waitForProcess, Collection<String> args)","protected int run(boolean waitForProcess, Collection<String> args, Map<String, String> environmentVariables)"
95f7e3ca37b3d8139f7a5e299f1a96d5af509af1,RunMojo.java,"protected void runWithForkedJvm(File workingDirectory, List<String> args)","protected void runWithForkedJvm(File workingDirectory, List<String> args, Map<String, String> environmentVariables)"
95f7e3ca37b3d8139f7a5e299f1a96d5af509af1,StartMojo.java,"protected void runWithForkedJvm(File workingDirectory, List<String> args)","protected void runWithForkedJvm(File workingDirectory, List<String> args, Map<String, String> environmentVariables)"
95f7e3ca37b3d8139f7a5e299f1a96d5af509af1,StartMojo.java,"private RunProcess runProcess(File workingDirectory, List<String> args)","private RunProcess runProcess(File workingDirectory, List<String> args, Map<String, String> environmentVariables)"
6855c5556db717d0df9476bad89c7127fb37e99a,EndpointRequest.java,private RequestMatcher createDelegate(PathMappedEndpoints pathMappedEndpoints) {,"private RequestMatcher createDelegate(PathMappedEndpoints pathMappedEndpoints, String servletPath) {"
abe92eba2e7382897befd5749179afe2a4fb8bc7,InetAddressFormatterTests.java,private void assumeResolves(String host) {,"private void assumeResolves(String host, boolean expectedToResolve) {"
f7a4a56fbaa004a9b92b3352ed49581c125e5e0e,ProjectInfoAutoConfiguration.java,"protected Properties loadFrom(Resource location, String prefix) throws IOException {","protected Properties loadFrom(Resource location, String prefix, String encoding) throws IOException {"
9f858e759c2bd69018b54e378b2dc982dcebea2c,BeanTypeRegistry.java,public Set<String> getNamesForType(Class<?> type) {,"public Set<String> getNamesForType(Class<?> type, TypeExtractor typeExtractor) {"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,RemoteApplicationLauncher.java,private int awaitServerPort(File standardOut) throws Exception {,"private int awaitServerPort(File standardOut, File serverPortFile) throws Exception {"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,BootRunApplicationLauncher.java,protected List<String> getArguments(File archive) {,"protected List<String> getArguments(File archive, File serverPortFile) {"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,ExplodedApplicationLauncher.java,protected List<String> getArguments(File archive) {,"protected List<String> getArguments(File archive, File serverPortFile) {"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,IdeApplicationLauncher.java,protected List<String> getArguments(File archive) {,"protected List<String> getArguments(File archive, File serverPortFile) {"
61d04db0d7cbde5a17f0d3b0b3b59e1c7b123393,PackagedApplicationLauncher.java,protected List<String> getArguments(File archive) {,"protected List<String> getArguments(File archive, File serverPortFile) {"
